date,datatype,station,attributes,value
2019-06-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2019-06-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2019-06-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2019-06-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-06-05T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-06-06T00:00:00,AWND,GHCND:USW00093193,",,W,",7.0
2019-06-07T00:00:00,AWND,GHCND:USW00093193,",,W,",6.0
2019-06-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-06-09T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2019-06-10T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-06-11T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2019-06-12T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2019-06-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2019-06-14T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-06-15T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2019-06-16T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2019-06-17T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2019-06-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-06-19T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2019-06-20T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2019-06-21T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2019-06-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2019-06-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-06-24T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-06-25T00:00:00,AWND,GHCND:USW00093193,",,W,",4.6
2019-06-26T00:00:00,AWND,GHCND:USW00093193,",,W,",5.6
2019-06-27T00:00:00,AWND,GHCND:USW00093193,",,W,",5.7
2019-06-28T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2019-06-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2019-06-30T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2019-07-01T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
