date,datatype,station,attributes,value
2016-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2016-04-02T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2016-04-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2016-04-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2016-04-05T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2016-04-06T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2016-04-07T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2016-04-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2016-04-09T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2016-04-10T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2016-04-11T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2016-04-12T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2016-04-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2016-04-14T00:00:00,AWND,GHCND:USW00093193,",,W,",6.4
2016-04-15T00:00:00,AWND,GHCND:USW00093193,",,W,",5.8
2016-04-16T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2016-04-17T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2016-04-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2016-04-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2016-04-20T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2016-04-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2016-04-22T00:00:00,AWND,GHCND:USW00093193,",,W,",4.5
2016-04-23T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2016-04-24T00:00:00,AWND,GHCND:USW00093193,",,W,",5.1
2016-04-25T00:00:00,AWND,GHCND:USW00093193,",,W,",5.7
2016-04-26T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2016-04-27T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2016-04-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2016-04-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2016-04-30T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2016-05-01T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
