date,datatype,station,attributes,value
2019-03-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-03-02T00:00:00,AWND,GHCND:USW00093193,",,W,",4.6
2019-03-03T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-03-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-03-05T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-03-06T00:00:00,AWND,GHCND:USW00093193,",,W,",6.1
2019-03-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2019-03-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2019-03-09T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2019-03-10T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
2019-03-11T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2019-03-12T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2019-03-13T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-03-14T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2019-03-15T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2019-03-16T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2019-03-17T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2019-03-18T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2019-03-19T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-03-20T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-03-21T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2019-03-22T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2019-03-23T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2019-03-24T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2019-03-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2019-03-26T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2019-03-27T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2019-03-28T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2019-03-29T00:00:00,AWND,GHCND:USW00093193,",,W,",4.8
2019-03-30T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2019-03-31T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2019-04-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
