date,datatype,station,attributes,value
2015-08-01T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2015-08-02T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2015-08-03T00:00:00,AWND,GHCND:USW00093193,",,W,",4.6
2015-08-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2015-08-05T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2015-08-06T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2015-08-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2015-08-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2015-08-09T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2015-08-10T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2015-08-11T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2015-08-12T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2015-08-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2015-08-14T00:00:00,AWND,GHCND:USW00093193,",,W,",4.4
2015-08-15T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2015-08-16T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2015-08-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2015-08-18T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2015-08-19T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2015-08-20T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2015-08-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2015-08-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-08-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2015-08-24T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2015-08-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-08-26T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2015-08-27T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2015-08-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2015-08-29T00:00:00,AWND,GHCND:USW00093193,",,W,",5.3
2015-08-30T00:00:00,AWND,GHCND:USW00093193,",,W,",5.8
2015-08-31T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2015-09-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
