date,datatype,station,attributes,value
2015-05-01T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2015-05-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2015-05-03T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2015-05-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2015-05-05T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2015-05-06T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2015-05-07T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-05-08T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-05-09T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2015-05-10T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-05-11T00:00:00,AWND,GHCND:USW00093193,",,W,",5.2
2015-05-12T00:00:00,AWND,GHCND:USW00093193,",,W,",4.4
2015-05-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2015-05-14T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2015-05-15T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2015-05-16T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2015-05-17T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2015-05-18T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2015-05-19T00:00:00,AWND,GHCND:USW00093193,",,W,",4.2
2015-05-20T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2015-05-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2015-05-22T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2015-05-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2015-05-24T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-05-25T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2015-05-26T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2015-05-27T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2015-05-28T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2015-05-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2015-05-30T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2015-05-31T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2015-06-01T00:00:00,AWND,GHCND:USW00093193,",,W,",4.8
