date,datatype,station,attributes,value
2019-12-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2019-12-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2019-12-03T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2019-12-04T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-12-05T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2019-12-06T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2019-12-07T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2019-12-08T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2019-12-09T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2019-12-10T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2019-12-11T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2019-12-12T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2019-12-13T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2019-12-14T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2019-12-15T00:00:00,AWND,GHCND:USW00093193,",,W,",3.0
2019-12-16T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2019-12-17T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2019-12-18T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2019-12-19T00:00:00,AWND,GHCND:USW00093193,",,W,",0.6
2019-12-20T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2019-12-21T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2019-12-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2019-12-23T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2019-12-24T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2019-12-25T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2019-12-26T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2019-12-27T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2019-12-28T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2019-12-29T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2019-12-30T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2019-12-31T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2020-01-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
