date,datatype,station,attributes,value
2018-09-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2018-09-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2018-09-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2018-09-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2018-09-05T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2018-09-06T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2018-09-07T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2018-09-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2018-09-09T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2018-09-10T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2018-09-11T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2018-09-12T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2018-09-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2018-09-14T00:00:00,AWND,GHCND:USW00093193,",,W,",3.2
2018-09-15T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2018-09-16T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2018-09-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2018-09-18T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2018-09-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2018-09-20T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2018-09-21T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2018-09-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2018-09-23T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2018-09-24T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2018-09-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2018-09-26T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2018-09-27T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2018-09-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2018-09-29T00:00:00,AWND,GHCND:USW00093193,",,W,",3.7
2018-09-30T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2018-10-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.5
