date,datatype,station,attributes,value
2015-12-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2015-12-02T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2015-12-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2015-12-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-12-05T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2015-12-06T00:00:00,AWND,GHCND:USW00093193,",,W,",0.8
2015-12-07T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2015-12-08T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2015-12-09T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2015-12-10T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2015-12-11T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2015-12-12T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2015-12-13T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2015-12-14T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2015-12-15T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2015-12-16T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2015-12-17T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2015-12-18T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2015-12-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2015-12-20T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2015-12-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2015-12-22T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2015-12-23T00:00:00,AWND,GHCND:USW00093193,",,W,",4.6
2015-12-24T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2015-12-25T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2015-12-26T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2015-12-27T00:00:00,AWND,GHCND:USW00093193,",,W,",1.4
2015-12-28T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2015-12-29T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2015-12-30T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2015-12-31T00:00:00,AWND,GHCND:USW00093193,",,W,",0.6
2016-01-01T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
