date,datatype,station,attributes,value
2017-01-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2017-01-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2017-01-03T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2017-01-04T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2017-01-05T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2017-01-06T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2017-01-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2017-01-08T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2017-01-09T00:00:00,AWND,GHCND:USW00093193,",,W,",3.8
2017-01-10T00:00:00,AWND,GHCND:USW00093193,",,W,",4.9
2017-01-11T00:00:00,AWND,GHCND:USW00093193,",,W,",3.3
2017-01-12T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2017-01-13T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2017-01-14T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2017-01-15T00:00:00,AWND,GHCND:USW00093193,",,W,",0.8
2017-01-16T00:00:00,AWND,GHCND:USW00093193,",,W,",1.0
2017-01-17T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2017-01-18T00:00:00,AWND,GHCND:USW00093193,",,W,",3.5
2017-01-19T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2017-01-20T00:00:00,AWND,GHCND:USW00093193,",,W,",5.5
2017-01-21T00:00:00,AWND,GHCND:USW00093193,",,W,",3.4
2017-01-22T00:00:00,AWND,GHCND:USW00093193,",,W,",4.0
2017-01-23T00:00:00,AWND,GHCND:USW00093193,",,W,",2.5
2017-01-24T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2017-01-25T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2017-01-26T00:00:00,AWND,GHCND:USW00093193,",,W,",1.1
2017-01-27T00:00:00,AWND,GHCND:USW00093193,",,W,",0.8
2017-01-28T00:00:00,AWND,GHCND:USW00093193,",,W,",0.5
2017-01-29T00:00:00,AWND,GHCND:USW00093193,",,W,",0.9
2017-01-30T00:00:00,AWND,GHCND:USW00093193,",,W,",1.2
2017-01-31T00:00:00,AWND,GHCND:USW00093193,",,W,",0.7
2017-02-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
